customer_id,signup_date,market,segment,plan,acquisition_channel,is_foreign_founder,headcount,cac,churned,churn_date,ltv
SLEEK-0029,2024-01-15,SG,SME,Growth,Referral,True,21,61.51,False,,12131.83
SLEEK-0030,2022-05-21,HK,Startup,Growth,Paid,True,8,331.73,False,,15448.52
SLEEK-0031,2024-12-19,HK,Startup,Starter,Partner,False,7,180.29,False,,871.65
SLEEK-0032,2024-03-09,SG,SME,Starter,Paid,False,24,282.96,False,,3463.72
SLEEK-0033,2022-04-15,HK,Startup,Starter,Partner,False,2,155.11,True,2022-11,1390.2
SLEEK-0034,2022-12-14,SG,Startup,Growth,Partner,False,7,126.71,False,,10051.08
SLEEK-0035,2024-01-18,UK,Startup,Growth,Referral,True,4,87.47,True,2024-01,2217.16
SLEEK-0036,2024-01-03,AU,SME,Starter,Partner,True,34,152.97,False,,5021.52
SLEEK-0037,2023-01-29,UK,SME,Full Compliance,Partner,False,34,238.1,False,,29555.63
SLEEK-0038,2024-12-26,SG,SME,Starter,Paid,False,32,276.38,False,,745.65
SLEEK-0039,2024-07-31,AU,SME,Growth,Organic,False,22,112.82,False,,6121.47
SLEEK-0040,2024-05-12,SG,Startup,Growth,Paid,False,6,307.16,False,,3444.79
SLEEK-0041,2022-05-02,SG,Startup,Starter,Partner,False,4,146.07,False,,6638.04
SLEEK-0042,2024-01-23,SG,Corporate,Growth,Organic,False,127,80.64,False,,40837.55
SLEEK-0043,2024-01-16,AU,SME,Growth,Referral,False,28,88.47,False,,13525.87
SLEEK-0044,2024-11-04,HK,Startup,Starter,Partner,False,4,154.14,False,,968.84
SLEEK-0045,2024-02-16,HK,Startup,Growth,Referral,False,4,81.28,False,,4046.78
SLEEK-0046,2022-10-21,SG,SME,Growth,Paid,False,40,312.55,True,2022-12,4257.98
SLEEK-0047,2022-12-14,HK,Corporate,Full Compliance,Partner,False,119,146.16,False,,93105.11
SLEEK-0048,2023-01-05,SG,SME,Starter,Partner,False,12,134.69,False,,3471.28
SLEEK-0049,2024-02-26,HK,SME,Growth,Referral,False,8,62.83,False,,5350.69
SLEEK-0050,2024-05-20,AU,SME,Starter,Partner,False,37,190.68,False,,8186.3
SLEEK-0051,2023-11-17,SG,Startup,Full Compliance,Partner,False,5,155.73,True,2024-10,7192.19
SLEEK-0052,2024-07-02,HK,SME,Full Compliance,Referral,False,24,76.82,False,,7207.36
SLEEK-0053,2024-12-03,AU,SME,Growth,Organic,False,26,89.57,False,,1968.64
SLEEK-0054,2022-02-23,SG,Startup,Starter,Partner,False,4,132.84,False,,5205.23
SLEEK-0055,2024-05-10,HK,Startup,Starter,Organic,False,2,99.71,False,,1395.07
SLEEK-0056,2022-01-13,AU,SME,Full Compliance,Paid,False,34,349.39,False,,53978.96
SLEEK-0057,2023-03-28,HK,SME,Growth,Partner,False,32,145.47,False,,25263.67
SLEEK-0058,2022-03-20,SG,SME,Growth,Referral,False,9,69.77,True,2024-08,14347.49
SLEEK-0059,2022-02-07,SG,Startup,Starter,Partner,False,4,140.25,True,2022-05,921.71
SLEEK-0060,2022-06-17,AU,SME,Growth,Organic,True,30,109.96,False,,37762.34
SLEEK-0061,2022-01-07,SG,Startup,Growth,Partner,True,5,157.28,True,2022-03,3127.93
SLEEK-0062,2023-06-09,HK,SME,Growth,Organic,False,15,78.04,False,,14358.04
SLEEK-0063,2022-02-22,AU,Startup,Full Compliance,Organic,False,5,103.03,False,,22255.01
SLEEK-0064,2023-02-23,SG,SME,Growth,Organic,False,15,91.21,False,,13954.16
SLEEK-0065,2024-12-27,AU,SME,Growth,Organic,False,29,94.82,False,,1990.54
SLEEK-0066,2022-08-23,SG,Startup,Starter,Paid,False,7,278.55,False,,2848.83
SLEEK-0067,2023-12-19,SG,SME,Starter,Referral,False,13,68.44,False,,3146.81
SLEEK-0068,2023-06-01,SG,Startup,Starter,Referral,False,4,55.8,False,,2700.6
SLEEK-0069,2023-07-20,AU,Startup,Growth,Partner,True,3,171.13,False,,8396.8
SLEEK-0070,2024-09-02,AU,Startup,Growth,Referral,False,2,74.72,False,,2000.17
SLEEK-0071,2023-09-17,SG,Startup,Starter,Organic,False,4,95.89,False,,1850.26
SLEEK-0072,2022-09-05,AU,Startup,Growth,Organic,False,8,92.62,False,,13750.11
SLEEK-0073,2023-07-21,HK,Startup,Growth,Referral,False,4,83.34,True,2023-12,2613.75
SLEEK-0074,2023-06-05,UK,SME,Starter,Paid,True,25,418.94,False,,3313.3
SLEEK-0075,2024-08-04,SG,Startup,Growth,Organic,False,5,82.37,False,,2301.06
SLEEK-0076,2024-01-13,SG,Corporate,Full Compliance,Referral,False,59,61.85,False,,23324.3
SLEEK-0077,2024-02-20,SG,SME,Growth,Paid,False,32,335.16,True,2024-06,5575.99
SLEEK-0078,2024-05-28,HK,Startup,Starter,Partner,False,7,167.75,False,,1324.73
SLEEK-0079,2022-01-06,SG,SME,Growth,Partner,False,38,129.39,False,,47271.22
SLEEK-0080,2023-11-08,SG,Startup,Full Compliance,Referral,False,7,66.91,False,,8910.88
SLEEK-0081,2023-04-06,AU,Startup,Growth,Organic,False,2,116.34,False,,6731.98
SLEEK-0082,2024-08-04,SG,SME,Growth,Referral,False,25,55.3,False,,4794.47
SLEEK-0083,2022-03-23,HK,Startup,Growth,Organic,False,2,98.44,True,2023-11,5885.82
SLEEK-0084,2023-11-27,SG,Corporate,Growth,Partner,False,100,122.41,False,,39444.86
SLEEK-0085,2024-06-11,HK,Startup,Growth,Organic,True,4,89.7,False,,4592.67
SLEEK-0086,2022-08-10,SG,Startup,Growth,Organic,False,2,76.81,True,2024-02,5740.19
SLEEK-0087,2024-04-07,HK,Startup,Growth,Paid,True,8,395.49,True,2024-07,4068.03
SLEEK-0088,2024-01-11,HK,Startup,Growth,Organic,False,2,89.95,False,,3711.83
SLEEK-0089,2022-02-01,SG,Startup,Full Compliance,Partner,True,3,156.53,False,,19580.54
SLEEK-0090,2022-02-15,SG,Startup,Full Compliance,Paid,True,7,338.91,True,2024-11,22549.64
SLEEK-0091,2023-08-18,SG,SME,Starter,Referral,False,16,52.57,True,2023-12,993.18
SLEEK-0092,2024-04-29,AU,Startup,Starter,Referral,False,2,83.63,False,,1664.02
SLEEK-0093,2024-03-15,SG,Startup,Starter,Referral,False,6,56.28,False,,1421.02
SLEEK-0094,2024-02-08,SG,Corporate,Full Compliance,Partner,True,100,144.65,False,,34172.17
SLEEK-0095,2022-11-08,AU,SME,Growth,Paid,False,29,309.63,False,,29334.93
SLEEK-0096,2024-12-13,AU,SME,Full Compliance,Paid,True,17,306.33,False,,3774.81
SLEEK-0097,2023-02-28,SG,SME,Growth,Paid,False,28,342.32,True,2023-08,6923.15
SLEEK-0098,2022-03-15,HK,SME,Growth,Referral,False,26,62.57,True,2023-08,17228.59
SLEEK-0099,2022-09-09,UK,SME,Growth,Paid,True,18,562.41,True,2022-11,3776.17
SLEEK-0100,2022-04-25,HK,Corporate,Growth,Organic,True,107,85.49,True,2023-09,59840.68
SLEEK-0101,2022-07-20,SG,SME,Growth,Organic,False,22,79.93,False,,25805.89
SLEEK-0102,2022-01-20,HK,Startup,Growth,Organic,False,6,88.75,True,2023-08,7887.97
SLEEK-0103,2023-07-23,SG,Startup,Starter,Paid,True,5,528.09,True,2024-05,3124.35
SLEEK-0104,2024-01-06,AU,Startup,Growth,Paid,False,8,454.89,False,,6385.05
SLEEK-0105,2022-04-11,HK,Startup,Full Compliance,Referral,False,4,76.86,True,2023-12,11341.71
SLEEK-0106,2023-03-25,AU,Startup,Growth,Referral,False,7,78.63,True,2024-09,9088.34
SLEEK-0107,2022-07-18,AU,SME,Full Compliance,Organic,False,36,105.85,True,2022-08,3988.96
SLEEK-0108,2024-07-06,SG,Startup,Starter,Organic,False,4,89.17,False,,1078.85
SLEEK-0109,2023-06-11,HK,Corporate,Full Compliance,Partner,False,77,188.43,False,,48709.51
SLEEK-0110,2022-06-04,AU,Startup,Starter,Organic,False,7,118.66,False,,3584.05
SLEEK-0111,2024-01-20,HK,Startup,Starter,Partner,False,2,153.25,False,,1676.28
SLEEK-0112,2024-02-20,HK,SME,Full Compliance,Partner,True,22,188.18,False,,13582.41
SLEEK-0113,2023-11-03,HK,SME,Full Compliance,Partner,True,37,142.17,False,,22527.65
SLEEK-0114,2022-10-22,UK,Startup,Starter,Paid,False,2,423.74,False,,2445.52
SLEEK-0115,2023-12-23,SG,SME,Full Compliance,Organic,False,17,77.41,True,2023-12,1489.67
SLEEK-0116,2024-04-15,AU,SME,Full Compliance,Partner,False,21,155.02,False,,10819.09
SLEEK-0117,2022-09-21,SG,Corporate,Growth,Partner,True,55,143.89,False,,46400.31
SLEEK-0118,2023-01-04,UK,SME,Growth,Organic,True,29,124.66,False,,23113.92
SLEEK-0119,2022-04-19,SG,Startup,Starter,Referral,False,3,68.87,True,2022-10,1196.95
SLEEK-0120,2022-10-24,AU,SME,Full Compliance,Organic,False,15,101.61,False,,25548.01
SLEEK-0121,2023-05-03,HK,Startup,Growth,Organic,False,3,72.57,False,,6198.96
SLEEK-0122,2024-09-02,AU,Startup,Starter,Referral,False,5,70.86,False,,1192.27
SLEEK-0123,2024-12-03,HK,Corporate,Growth,Organic,True,101,95.16,False,,5513.28
SLEEK-0124,2024-06-27,AU,Startup,Starter,Organic,False,2,83.23,False,,1464.39
SLEEK-0125,2023-10-17,SG,SME,Starter,Referral,False,15,60.13,True,2024-06,1321.42
SLEEK-0126,2023-03-17,AU,SME,Growth,Partner,False,37,196.39,True,2023-09,11881.41
SLEEK-0127,2022-01-22,SG,SME,Full Compliance,Paid,False,13,264.59,True,2023-03,11862.64
SLEEK-0128,2022-03-18,SG,SME,Growth,Paid,False,35,271.65,False,,47243.06
SLEEK-0129,2023-10-02,AU,SME,Growth,Partner,True,38,175.3,False,,26037.53
SLEEK-0130,2022-10-08,SG,Startup,Growth,Partner,False,8,170.71,True,2023-01,2265.38
SLEEK-0131,2023-07-02,HK,SME,Starter,Referral,False,29,63.65,True,2024-01,1264.22
SLEEK-0132,2023-03-21,SG,Startup,Full Compliance,Organic,False,5,66.94,True,2023-08,3920.85
SLEEK-0133,2023-10-20,SG,Startup,Starter,Paid,True,6,380.96,False,,8983.42
SLEEK-0134,2022-07-09,SG,Startup,Starter,Paid,False,2,321.58,True,2024-11,4246.04
SLEEK-0135,2023-02-20,SG,SME,Starter,Referral,False,16,52.91,False,,8499.52
SLEEK-0136,2024-10-15,AU,Startup,Growth,Organic,False,7,87.03,True,2024-11,1735.3
SLEEK-0137,2022-12-02,SG,SME,Growth,Partner,True,28,147.59,False,,24584.47
SLEEK-0138,2024-05-05,HK,SME,Starter,Partner,False,18,153.92,False,,1323.63
SLEEK-0139,2024-01-12,AU,SME,Starter,Partner,True,33,193.42,True,2024-02,3051.2
SLEEK-0140,2023-11-27,HK,Startup,Starter,Paid,True,7,564.16,True,2024-07,3127.53
SLEEK-0141,2022-11-27,SG,Startup,Starter,Partner,False,3,126.17,True,2023-01,856.73
SLEEK-0142,2022-12-29,HK,SME,Full Compliance,Partner,False,36,168.19,True,2023-04,7743.85
SLEEK-0143,2023-10-24,HK,SME,Full Compliance,Referral,True,12,73.56,False,,13462.08
SLEEK-0144,2022-04-26,HK,SME,Growth,Partner,False,10,132.75,True,2022-12,4918.63
SLEEK-0145,2024-10-20,SG,SME,Growth,Organic,False,10,78.81,False,,1972.44
SLEEK-0146,2022-03-02,SG,SME,Growth,Partner,False,13,168.66,True,2022-10,4872.32
SLEEK-0147,2024-06-15,HK,Startup,Full Compliance,Organic,False,4,90.87,False,,4327.84
SLEEK-0148,2022-11-21,SG,Startup,Starter,Paid,False,5,298.2,False,,2623.47
SLEEK-0149,2024-06-03,SG,SME,Growth,Partner,False,33,128.49,False,,7788.51
SLEEK-0150,2023-06-27,SG,SME,Starter,Organic,False,13,86.49,False,,2061.28
SLEEK-0151,2024-01-13,HK,Startup,Starter,Paid,False,8,413.16,False,,1644.63
SLEEK-0152,2022-06-08,HK,Startup,Starter,Organic,False,6,100.37,True,2022-10,1132.5
SLEEK-0153,2023-11-21,AU,SME,Full Compliance,Organic,False,17,104.72,True,2024-03,5786.46
SLEEK-0154,2024-02-02,SG,SME,Growth,Partner,True,36,160.58,True,2024-09,10887.29
SLEEK-0155,2023-04-25,HK,SME,Growth,Partner,False,38,147.81,False,,30446.47
SLEEK-0156,2024-01-06,UK,Startup,Full Compliance,Paid,True,5,512.03,False,,7989.59
SLEEK-0157,2023-02-13,HK,Startup,Growth,Organic,False,7,76.98,True,2023-09,3850.03
SLEEK-0158,2024-11-22,HK,Startup,Growth,Partner,False,4,146.24,True,2024-12,1372.91
SLEEK-0159,2022-08-12,SG,Startup,Full Compliance,Partner,False,4,144.89,True,2024-11,15276.38
SLEEK-0160,2022-12-21,SG,Corporate,Growth,Referral,True,146,51.51,True,2024-02,60034.96
SLEEK-0161,2024-08-18,HK,SME,Growth,Partner,True,24,128.34,False,,6714.73
SLEEK-0162,2023-05-08,SG,Startup,Starter,Partner,False,8,122.86,False,,2124.71
SLEEK-0163,2024-10-20,HK,Startup,Growth,Partner,False,3,129.05,False,,1631.67
SLEEK-0164,2023-12-24,AU,Startup,Starter,Organic,False,2,96.66,False,,1962.64
SLEEK-0165,2024-11-05,HK,Startup,Growth,Partner,True,8,160.49,False,,3410.65
SLEEK-0166,2023-06-04,HK,SME,Growth,Partner,True,23,150.85,True,2023-09,5697.7
SLEEK-0167,2023-11-12,AU,SME,Starter,Partner,False,19,159.96,False,,2055.22
SLEEK-0168,2024-09-07,AU,SME,Growth,Partner,True,37,191.18,False,,8096.81
SLEEK-0169,2024-05-17,SG,Startup,Starter,Referral,False,2,67.57,False,,1242.82
SLEEK-0170,2022-04-08,AU,Startup,Growth,Paid,True,4,354.45,True,2024-06,11874.5
SLEEK-0171,2024-03-16,SG,Startup,Growth,Paid,False,4,303.02,False,,3649.36
SLEEK-0172,2023-01-05,AU,SME,Growth,Organic,True,26,92.85,False,,26849.84
SLEEK-0173,2023-01-24,SG,SME,Full Compliance,Referral,False,25,56.46,False,,25701.82
SLEEK-0174,2024-04-11,HK,SME,Growth,Organic,False,9,100.84,True,2024-08,2979.34
SLEEK-0175,2022-03-12,SG,SME,Growth,Partner,True,17,176.97,False,,23526.73
SLEEK-0176,2022-06-07,HK,Corporate,Full Compliance,Referral,True,123,70.82,False,,121434.69
SLEEK-0177,2022-09-04,SG,Corporate,Growth,Organic,False,118,72.33,False,,87768.44
SLEEK-0178,2022-08-06,SG,Corporate,Full Compliance,Partner,True,127,146.71,True,2022-11,16742.35
SLEEK-0179,2024-05-27,UK,Corporate,Starter,Partner,False,148,203.37,False,,1251.86
SLEEK-0180,2022-04-04,SG,SME,Full Compliance,Partner,True,39,167.52,False,,48264.91
SLEEK-0181,2024-10-03,SG,SME,Starter,Paid,False,38,306.96,False,,842.23
SLEEK-0182,2022-06-01,HK,SME,Starter,Partner,True,37,148.29,False,,4560.05
SLEEK-0183,2023-01-08,HK,Startup,Growth,Partner,False,8,136.26,False,,10575.37
SLEEK-0184,2022-12-08,SG,Startup,Starter,Organic,False,8,94.11,True,2024-10,2380.59
SLEEK-0185,2022-10-18,SG,Startup,Starter,Partner,False,6,158.46,False,,2665.87
SLEEK-0186,2023-10-02,SG,SME,Full Compliance,Partner,True,24,121.7,False,,17598.62
SLEEK-0187,2022-03-04,HK,SME,Growth,Paid,False,27,367.8,True,2023-01,13506.96
SLEEK-0188,2023-09-02,HK,SME,Growth,Partner,True,34,172.07,False,,20596.05
SLEEK-0189,2023-10-03,HK,Startup,Growth,Referral,False,4,64.94,True,2024-12,5227.49
SLEEK-0190,2023-12-28,UK,Startup,Starter,Paid,True,5,676.11,False,,2873.09
SLEEK-0191,2022-04-28,SG,Startup,Full Compliance,Organic,False,7,90.03,True,2023-03,7759.4
SLEEK-0192,2023-05-16,SG,SME,Starter,Referral,False,23,70.69,False,,2135.14
SLEEK-0193,2023-11-22,SG,Startup,Starter,Organic,False,5,81.17,False,,1675.29
SLEEK-0194,2022-01-19,SG,Startup,Growth,Paid,False,5,302.4,True,2023-03,5497.49
SLEEK-0195,2022-09-01,HK,SME,Starter,Paid,False,29,293.54,False,,2732.12
SLEEK-0196,2024-11-08,HK,Startup,Starter,Organic,True,7,73.45,False,,2517.29
SLEEK-0197,2023-06-20,SG,Startup,Starter,Paid,False,8,306.3,True,2023-11,1084.36
SLEEK-0198,2023-05-16,SG,Startup,Growth,Partner,False,5,142.1,False,,10111.86
SLEEK-0199,2022-02-24,HK,SME,Growth,Partner,False,22,144.99,True,2022-09,7249.94
SLEEK-0200,2024-02-18,AU,SME,Starter,Organic,True,15,107.23,False,,3699.46
SLEEK-0201,2022-03-25,SG,Startup,Growth,Paid,False,7,316.37,True,2024-01,9344.27
SLEEK-0202,2022-09-13,SG,Startup,Starter,Organic,False,4,69.54,True,2024-03,2054.62
SLEEK-0203,2023-06-26,HK,SME,Growth,Partner,True,27,140.3,True,2023-07,4455.67
SLEEK-0204,2022-03-16,SG,Corporate,Growth,Referral,False,141,56.37,False,,126248.61
SLEEK-0205,2024-02-17,AU,Startup,Growth,Paid,False,8,363.97,False,,5967.08
SLEEK-0206,2022-06-11,AU,Startup,Starter,Organic,False,5,97.7,False,,3553.01
SLEEK-0207,2023-01-20,SG,SME,Growth,Paid,True,22,286.63,False,,20394.13
SLEEK-0208,2024-08-25,HK,Startup,Starter,Paid,True,6,387.91,False,,2929.95
SLEEK-0209,2024-11-18,UK,Startup,Growth,Paid,True,4,515.31,False,,2496.74
SLEEK-0210,2022-09-24,SG,SME,Growth,Partner,False,19,176.2,True,2024-02,17882.66
SLEEK-0211,2022-08-06,SG,SME,Full Compliance,Partner,False,10,177.73,False,,20062.27
SLEEK-0212,2024-03-18,SG,SME,Growth,Organic,True,40,92.46,False,,14278.55
SLEEK-0213,2022-11-29,HK,Startup,Growth,Organic,False,2,95.34,True,2024-04,5131.74
SLEEK-0214,2023-01-31,AU,SME,Starter,Referral,False,35,85.68,False,,2963.84
SLEEK-0215,2023-01-14,HK,Startup,Full Compliance,Referral,False,2,69.37,True,2024-01,6629.04
SLEEK-0216,2024-12-19,SG,Startup,Starter,Referral,False,2,63.69,False,,713.2
SLEEK-0217,2024-10-26,HK,Startup,Full Compliance,Organic,False,7,103.96,False,,2531.57
SLEEK-0218,2023-01-16,SG,Corporate,Growth,Referral,False,93,65.95,False,,61130.18
SLEEK-0219,2023-03-24,AU,Corporate,Full Compliance,Partner,False,140,182.26,False,,104039.84
SLEEK-0220,2022-01-27,SG,Startup,Starter,Referral,False,3,60.13,False,,3371.3
SLEEK-0221,2023-08-03,SG,SME,Full Compliance,Referral,True,16,58.69,True,2024-01,7023.76
SLEEK-0222,2024-08-04,HK,Startup,Growth,Organic,True,4,83.09,False,,3950.5
SLEEK-0223,2022-04-03,AU,SME,Growth,Referral,False,11,81.01,False,,22668.29
SLEEK-0224,2022-07-03,UK,Startup,Starter,Partner,True,7,174.4,True,2024-01,3208.82
SLEEK-0225,2024-11-29,UK,SME,Growth,Paid,False,32,596.88,False,,2565.24
SLEEK-0226,2022-02-06,SG,Corporate,Full Compliance,Partner,True,68,143.58,False,,76699.2
SLEEK-0227,2024-08-06,AU,SME,Growth,Partner,False,22,173.02,False,,5357.23
SLEEK-0228,2024-02-02,SG,Startup,Growth,Organic,False,2,77.42,True,2024-08,2406.63
SLEEK-0229,2022-01-08,SG,Startup,Growth,Referral,True,3,57.65,False,,12004.02
SLEEK-0230,2023-08-16,AU,SME,Starter,Organic,False,28,116.66,False,,2383.07
SLEEK-0231,2023-05-02,SG,SME,Growth,Partner,False,19,155.5,True,2023-10,4774.29
SLEEK-0232,2023-12-07,HK,Startup,Full Compliance,Paid,False,4,542.28,False,,7387.32
SLEEK-0233,2023-01-12,HK,Startup,Growth,Organic,False,4,89.05,False,,7951.36
SLEEK-0234,2022-04-29,AU,Startup,Growth,Paid,False,3,451.1,False,,11129.48
SLEEK-0235,2022-06-03,SG,Startup,Starter,Paid,True,5,362.16,False,,13184.32
SLEEK-0236,2023-01-21,HK,SME,Full Compliance,Partner,False,21,165.61,False,,24263.9
SLEEK-0237,2022-02-01,HK,SME,Starter,Paid,False,38,306.6,True,2022-09,1371.28
SLEEK-0238,2023-07-12,UK,SME,Full Compliance,Referral,False,32,91.87,False,,21420.28
SLEEK-0239,2024-01-07,HK,SME,Growth,Paid,True,38,349.62,True,2024-12,17345.95
SLEEK-0240,2023-10-03,AU,Startup,Starter,Organic,True,3,102.5,True,2024-07,3690.31
SLEEK-0241,2023-01-11,SG,SME,Starter,Referral,True,29,61.67,False,,4020.53
SLEEK-0242,2023-03-24,SG,SME,Growth,Partner,False,39,130.16,True,2023-05,4154.67
SLEEK-0243,2024-02-27,SG,SME,Growth,Partner,False,22,165.86,False,,8892.55
SLEEK-0244,2023-03-22,SG,Startup,Full Compliance,Organic,False,2,93.21,False,,10998.08
SLEEK-0245,2023-02-01,SG,SME,Growth,Organic,False,19,86.33,False,,16241.08
SLEEK-0246,2022-06-09,SG,Startup,Growth,Organic,False,5,66.53,True,2024-09,16191.06
SLEEK-0247,2022-06-15,HK,Corporate,Full Compliance,Paid,False,51,400.15,False,,57007.82
SLEEK-0248,2023-02-16,SG,Startup,Growth,Paid,False,8,338.55,False,,9835.32
SLEEK-0249,2023-01-22,UK,SME,Starter,Partner,False,38,229.45,False,,2287.98
SLEEK-0250,2022-11-02,SG,Corporate,Growth,Partner,True,66,171.03,False,,52952.97
SLEEK-0251,2024-03-26,HK,SME,Full Compliance,Partner,False,32,147.15,False,,13793.51
SLEEK-0252,2022-10-14,HK,Startup,Growth,Paid,True,7,376.5,False,,12778.08
SLEEK-0253,2024-10-06,UK,Startup,Starter,Paid,True,6,541.88,False,,2176.93
SLEEK-0254,2022-08-08,SG,SME,Growth,Organic,False,32,94.12,True,2022-08,1589.91
SLEEK-0255,2023-01-13,SG,SME,Growth,Partner,False,28,158.03,False,,23403.64
SLEEK-0256,2022-02-05,SG,Startup,Starter,Partner,False,6,145.86,True,2022-10,1333.35
SLEEK-0257,2022-06-28,SG,Startup,Starter,Paid,False,2,293.36,True,2023-05,1562.23
SLEEK-0258,2023-05-13,AU,SME,Growth,Partner,False,16,147.53,False,,14879.86
SLEEK-0259,2022-02-16,SG,Startup,Growth,Organic,False,7,75.56,False,,14236.01
SLEEK-0260,2022-08-08,HK,SME,Starter,Organic,False,32,72.24,True,2023-05,1506.73
SLEEK-0261,2022-10-06,AU,Startup,Starter,Organic,False,5,104.13,True,2023-08,1790.14
SLEEK-0262,2022-08-19,SG,Corporate,Full Compliance,Partner,True,140,139.55,True,2024-09,104320.26
SLEEK-0263,2023-11-25,SG,Startup,Growth,Referral,False,7,70.87,True,2024-01,2019.43
SLEEK-0264,2022-07-22,SG,SME,Growth,Partner,True,17,158.0,False,,21049.07
SLEEK-0265,2024-09-08,AU,SME,Growth,Organic,False,34,101.37,False,,5802.43
SLEEK-0266,2022-06-24,HK,SME,Starter,Paid,False,18,314.75,False,,3008.42
SLEEK-0267,2024-03-29,HK,Startup,Full Compliance,Partner,False,2,149.22,True,2024-09,3928.18
SLEEK-0268,2023-10-08,SG,Startup,Starter,Referral,False,6,57.39,True,2024-06,1331.19
SLEEK-0269,2024-09-15,HK,Startup,Starter,Partner,False,2,154.62,False,,1043.87
SLEEK-0270,2023-12-04,AU,SME,Growth,Paid,False,38,486.39,False,,18301.07
SLEEK-0271,2022-03-04,SG,SME,Starter,Referral,True,18,56.23,True,2022-07,2660.52
SLEEK-0272,2023-12-18,UK,SME,Starter,Paid,False,22,772.05,False,,1551.22
SLEEK-0273,2024-06-04,AU,SME,Growth,Organic,False,36,109.5,False,,10070.69
SLEEK-0274,2023-02-26,HK,Startup,Starter,Referral,False,6,75.71,True,2024-10,2252.73
SLEEK-0275,2022-05-22,SG,SME,Full Compliance,Organic,False,32,80.89,False,,39855.2
SLEEK-0276,2024-07-26,HK,SME,Growth,Paid,False,27,393.92,False,,6472.55
SLEEK-0277,2023-04-17,UK,SME,Starter,Referral,True,17,82.99,True,2024-01,2607.78
SLEEK-0278,2024-02-25,HK,Startup,Starter,Organic,False,7,89.52,False,,1573.21
SLEEK-0279,2023-03-23,UK,Startup,Starter,Organic,True,2,111.1,True,2024-03,2863.82
SLEEK-0280,2023-02-04,AU,Corporate,Full Compliance,Referral,False,103,88.91,False,,82810.18
SLEEK-0281,2022-03-01,SG,Startup,Growth,Referral,True,3,53.29,True,2022-11,4609.6
SLEEK-0282,2024-10-11,HK,Startup,Starter,Paid,True,8,295.85,False,,2803.77
SLEEK-0283,2022-03-27,HK,Corporate,Full Compliance,Partner,True,94,156.25,True,2022-11,29942.07
SLEEK-0284,2022-08-09,SG,SME,Growth,Partner,False,15,169.0,False,,17251.31
SLEEK-0285,2023-12-20,AU,Startup,Growth,Referral,False,6,78.31,True,2024-12,6146.75
